,ASIN,Product Name,Current inventory,2025-01-01 00:00:00,2024-12-05 00:00:00,2024-12-15 00:00:00,2025-01-05 00:00:00,2025-01-15 00:00:00,2025-01-25 00:00:00,2025-02-20 00:00:00,2025-02-28 00:00:00,2025-03-15 00:00:00,2025-03-25 00:00:00,2025-03-31 00:00:00,2025-04-10 00:00:00,2025-04-20 00:00:00,Upcoming Inventory,Total Inventory
0,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,0,0,100,4050,0,3600,0,0,0,0,0,0,0,7750,16837
1,B07GCQDX6M,SVA Citronella Oil 4 Oz,6885,0,0,130,0,0,0,0,0,0,0,0,180,0,310,7195
2,B072M2MTK1,SVA Rose Water 4 Oz (US),4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4989
3,B09TXNSQDJ,SIVA Camphor oil 4oz,4560,0,267,0,0,93,0,0,2250,0,990,630,2655,0,6885,11445
4,B09VPLLPMB,SIVA Lavender 4 oz,11036,0,-414,498,0,0,1355,5940,9585,4950,0,6300,3060,0,31274,42310
5,B09V7XXJ52,SIVA Citronella Oil 4 Oz,2458,0,0,0,0,0,0,0,0,0,0,0,90,0,90,2548
6,B071LQFHPY,SVA Eucalyptus Oil 4 Oz (US),5787,0,0,0,0,0,82,0,0,0,0,0,0,8910,8992,14779
7,B07J1JZJY2,SVA Rosemary Essential Oil – 1 Fl Oz,3756,0,0,201,0,0,0,401,2900,0,1600,1500,4500,0,11102,14858
8,B072PYW2VM,SVA Oregano Oil 4 Oz,5035,0,0,0,0,7,0,0,0,0,2250,1665,1620,0,5542,10577
9,B07YWWXLJS,SVA Carrot Seed Oil 4 Oz,2470,0,45,43,46,0,270,855,2295,990,2025,495,720,0,7784,10254
10,B071ZQ5J4X,SVA Lavender Oil 4 Oz,2753,0,178,75,0,0,267,4365,675,0,720,675,990,0,7945,10698
11,B09W9SX1W8,SIVA Tea Tree Oil 4 Oz,3288,0,541,18,0,35,0,946,900,4770,0,0,3600,2925,13735,17023
12,B09W2VSN54,SIVA Peppermint Oil 4 Oz,3416,0,-1086,-1,0,0,1803,3645,1215,3285,0,720,0,4095,13676,17092
13,B09W28G7L3,SIVA Lemongrass Oil 4 Oz,4880,0,-46,0,0,46,0,0,0,0,0,1485,900,0,2385,7265
14,B07Q4TD8RS,SVA Bhringraj Oil 4 Oz,1728,0,135,4,0,0,0,810,1305,1440,2700,495,0,0,6889,8617
15,B09V1FGQ8Z,SIVA Clove bud Oil 4 Oz,1246,0,-360,0,0,0,0,1,1530,0,180,810,495,0,2656,3902
16,B071W92ZRG,SVA Clove bud Oil 4 Oz (US),3399,0,0,0,1,0,46,0,0,0,0,0,0,0,47,3446
17,B07W8THF1Q,SVA Thyme Oil 4 Oz,1396,0,-146,0,314,0,360,1080,450,0,765,450,360,0,3633,5029
18,B072Q32KJ2,SVA Frankincense Serrata 4Oz,977,0,67,1,450,0,990,0,0,1125,585,1215,0,4365,8798,9775
19,B09W2VZDMQ,SIVA Peppermint Oil 1 Oz,407,0,200,0,0,0,300,0,400,0,0,0,0,0,900,1307
20,B0B8HDYRZQ,SVA Fenugreek Oil 1 Oz,1805,0,213,0,0,0,4,0,1300,400,1400,1000,1500,0,5817,7622
21,B072M55KZT,SVA Castor 4oz,1360,0,0,224,450,0,180,0,0,0,2475,180,450,0,3959,5319
22,B09WZYCXRQ,SIVA Eucalyptus Essential Oil 4oz,3576,0,377,5,0,0,0,45,1215,2205,450,1530,2565,3735,12127,15703
23,B078Z2KPT5,SVA Marula Oil 4oz (US),883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883
24,B09VS77ZDT,SIVA Lemon Oil 4oz,2043,0,223,44,0,0,0,810,1125,1755,0,1530,180,0,5667,7710
25,B07MNRLWRN,SVA Thuja Oil 1oz,554,0,0,0,0,0,0,200,0,200,300,400,300,0,1400,1954
26,B07MCKSNZQ,SVA Pumpkin Seed Oil 4oz (US),2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196
27,B07J14W55P,SVA Rosemary Oil 4oz,2501,0,0,3,0,0,0,1170,2250,495,4500,4005,0,4275,16698,19199
28,B07J1L77D3,SVA Tangerine Oil 4oz (US),1042,0,-25,0,0,0,0,0,675,180,180,900,945,0,2855,3897
29,B0BY54K6C3,SVA Fenugreek Oil 4oz,1177,0,0,48,495,0,810,0,0,1035,810,720,585,0,4503,5680
30,B07FSV4FNK,SVA Hemp Seed Oil 4oz (US),1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603
31,B07FSZ921M,SVA Evening Primrose Oil 4oz (US),1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160
32,B081RJL36N,SVA Spearmint Oil 4oz,2176,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,2173
33,B0BB9QN29D,SIVA Turmeric Oil 4oz,911,0,0,88,0,0,45,0,0,1440,1080,990,720,0,4363,5274
34,B078Z17WQ9,SVA Moringa Oil 4oz,1351,0,0,90,630,0,990,1935,450,0,0,315,675,0,5085,6436
35,B07Y1LCD7T,SVA Cinnamon Leaf Oil 4oz,1592,0,166,0,0,5,0,900,0,1305,0,0,0,0,2376,3968
36,B07XLS76L4,SVA Citriodora Oil 4oz,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288
37,B07895DHYQ,SVA Lemon Oil 4oz,1200,0,426,-44,0,0,135,0,1620,540,315,675,0,2205,5872,7072
38,B071J8GQCJ,SVA Peppermint Piperita Oil 4oz,1078,0,180,1,0,0,0,631,765,405,0,0,0,0,1982,3060
39,B07J1WMHT2,SVA Geranium Oil 1oz (US),696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696
40,B071FNLVF5,SVA Tamanu Oil 4oz,1222,0,0,135,945,0,450,0,360,0,0,180,360,0,2430,3652
41,B07FSYZM6H,SVA Amla Oil 4oz,1393,0,272,-45,0,0,58,0,0,900,2790,315,945,0,5235,6628
