,ASIN,Product Name,Date,Sales,Gross Profit
0,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,2025-02-15,59.0,38.08
1,B07GCQDX6M,SVA Citronella Oil 4 Oz,2025-02-15,36.0,27.56
2,B072M2MTK1,SVA Rose Water 4 Oz (US),2025-02-15,104.0,90.88
3,B09TXNSQDJ,SIVA Camphor oil 4oz,2025-02-15,70.0,51.15
4,B09VPLLPMB,SIVA Lavender 4 oz,2025-02-15,313.0,-6.9
5,B09V7XXJ52,SIVA Citronella Oil 4 Oz,2025-02-15,12.0,4.35
6,B071LQFHPY,SVA Eucalyptus Oil 4 Oz (US),2025-02-15,133.0,358.53
7,B07J1JZJY2,SVA Rosemary Essential Oil – 1 Fl Oz,2025-02-15,151.0,164.43
8,B072PYW2VM,SVA Oregano Oil 4 Oz,2025-02-15,64.0,110.66
9,B07YWWXLJS,SVA Carrot Seed Oil 4 Oz,2025-02-15,39.0,85.09
10,B071ZQ5J4X,SVA Lavender Oil 4 Oz,2025-02-15,36.0,96.16
11,B09W9SX1W8,SIVA Tea Tree Oil 4 Oz,2025-02-15,89.0,-4.71
12,B09W2VSN54,SIVA Peppermint Oil 4 Oz,2025-02-15,95.0,-103.69
13,B09W28G7L3,SIVA Lemongrass Oil 4 Oz,2025-02-15,38.0,-58.13
14,B07Q4TD8RS,SVA Bhringraj Oil 4 Oz,2025-02-15,35.0,139.13
15,B09V1FGQ8Z,SIVA Clove bud Oil 4 Oz,2025-02-15,9.0,31.2
16,B071W92ZRG,SVA Clove bud Oil 4 Oz (US),2025-02-15,54.0,235.32
17,B07W8THF1Q,SVA Thyme Oil 4 Oz,2025-02-15,24.0,87.25
18,B072Q32KJ2,SVA Frankincense Serrata 4Oz,2025-02-15,53.0,-62.25
19,B09W2VZDMQ,SIVA Peppermint Oil 1 Oz,2025-02-15,8.0,8.37
20,B0B8HDYRZQ,SVA Fenugreek Oil 1 Oz,2025-02-15,33.0,45.5
21,B072M55KZT,SVA Castor 4oz,2025-02-15,32.0,44.62
22,B09WZYCXRQ,SIVA Eucalyptus Essential Oil 4oz,2025-02-15,95.0,-16.09
23,B078Z2KPT5,SVA Marula Oil 4oz (US),2025-02-15,17.0,24.63
24,B09VS77ZDT,SIVA Lemon Oil 4oz,2025-02-15,38.0,-62.5
25,B07MNRLWRN,SVA Thuja Oil 1oz,2025-02-15,7.0,21.69
26,B07MCKSNZQ,SVA Pumpkin Seed Oil 4oz (US),2025-02-15,178.0,1308.56
27,B07J14W55P,SVA Rosemary Oil 4oz,2025-02-15,125.0,182.08
28,B07J1L77D3,SVA Tangerine Oil 4oz (US),2025-02-15,17.0,-35.19
29,B0BY54K6C3,SVA Fenugreek Oil 4oz,2025-02-15,27.0,112.2
30,B07FSV4FNK,SVA Hemp Seed Oil 4oz (US),2025-02-15,19.0,47.82
31,B07FSZ921M,SVA Evening Primrose Oil 4oz (US),2025-02-15,24.0,111.12
32,B081RJL36N,SVA Spearmint Oil 4oz,2025-02-15,9.0,35.65
33,B0BB9QN29D,SIVA Turmeric Oil 4oz,2025-02-15,21.0,-8.28
34,B078Z17WQ9,SVA Moringa Oil 4oz,2025-02-15,23.0,102.04
35,B07Y1LCD7T,SVA Cinnamon Leaf Oil 4oz,2025-02-15,8.0,17.37
36,B07XLS76L4,SVA Citriodora Oil 4oz,2025-02-15,8.0,36.13
37,B07895DHYQ,SVA Lemon Oil 4oz,2025-02-15,20.0,9.94
38,B071J8GQCJ,SVA Peppermint Piperita Oil 4oz,2025-02-15,14.0,-11.26
39,B07J1WMHT2,SVA Geranium Oil 1oz (US),2025-02-15,8.0,8.15
40,B071FNLVF5,SVA Tamanu Oil 4oz,2025-02-15,21.0,16.64
41,B07FSYZM6H,SVA Amla Oil 4oz,2025-02-15,41.0,55.2
42,B09W2KHTWX,SIVA Moringa Oil 4oz,2025-02-15,4.0,22.4
43,B072Q1NW1T,SVA Lemongrass Oil 4oz,2025-02-15,6.0,33.24
