,Date,ASIN,Product Name,Current Inventory,Updated Current Inventory,Daily_Run_Rate,Date of OOS,Expected Date to be in Air,Days of inventory,Inventory Status,Total Upcoming Shipment,Days_To_Target,Expected_Usage,Total_Available,Required Projected Inventory,Buffer_Stock,Required_Shipment_with_buffer_stock
0,2024-10-01,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,2149.0,288.0,17-04-2025,28-03-2025,58,Expected to be in air,16837,30,8640.0,16837,-8197.0,4320.0,-3877.0
1,2024-10-02,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1537.0,300.0,15-04-2025,26-03-2025,56,Expected to be in air,16837,30,9000.0,16837,-7837.0,4500.0,-3337.0
2,2024-10-03,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,874.0,313.0,12-04-2025,23-03-2025,53,Expected to be in air,16837,30,9390.0,16837,-7447.0,4695.0,-2752.0
3,2024-10-04,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,2979.0,338.0,08-04-2025,19-03-2025,49,Expected to be in air,16837,30,10140.0,16837,-6697.0,5070.0,-1627.0
4,2024-10-05,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1708.0,369.0,04-04-2025,15-03-2025,45,Expected to be in air,16837,30,11070.0,16837,-5767.0,5535.0,-232.0
5,2024-10-06,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1402.0,441.0,28-03-2025,08-03-2025,38,Expected to be in air,16837,30,13230.0,16837,-3607.0,6615.0,3008.0
6,2024-10-07,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1507.0,438.0,28-03-2025,08-03-2025,38,Expected to be in air,16837,30,13140.0,16837,-3697.0,6570.0,2873.0
7,2024-10-08,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,3837.0,520.0,22-03-2025,02-03-2025,32,Expected to be in air,16837,30,15600.0,16837,-1237.0,7800.0,6563.0
8,2024-10-09,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1912.0,597.0,18-03-2025,26-02-2025,28,Expected to be in air,16837,30,17910.0,16837,1073.0,8955.0,10028.0
9,2024-10-10,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,3412.0,537.0,21-03-2025,01-03-2025,31,Expected to be in air,16837,30,16110.0,16837,-727.0,8055.0,7328.0
10,2024-10-11,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1262.0,445.0,27-03-2025,07-03-2025,37,Expected to be in air,16837,30,13350.0,16837,-3487.0,6675.0,3188.0
11,2024-10-12,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,1927.0,426.0,29-03-2025,09-03-2025,39,Expected to be in air,16837,30,12780.0,16837,-4057.0,6390.0,2333.0
12,2024-10-13,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,58.0,329.0,10-04-2025,21-03-2025,51,Expected to be in air,16837,30,9870.0,16837,-6967.0,4935.0,-2032.0
13,2024-10-14,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,4698.0,199.0,13-05-2025,23-04-2025,84,Planned to send in Next Sea Shipment,16837,30,5970.0,16837,-10867.0,2985.0,-7882.0
14,2024-10-15,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,5369.0,188.0,18-05-2025,28-04-2025,89,Planned to send in Next Sea Shipment,16837,30,5640.0,16837,-11197.0,2820.0,-8377.0
15,2024-10-16,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,5979.0,178.0,23-05-2025,03-05-2025,94,Planned to send in Next Sea Shipment,16837,30,5340.0,16837,-11497.0,2670.0,-8827.0
16,2024-10-17,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,7077.0,160.0,03-06-2025,14-05-2025,105,Sufficient Inventory,16837,30,4800.0,16837,-12037.0,2400.0,-9637.0
17,2024-10-18,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,8419.0,138.0,20-06-2025,31-05-2025,122,Sufficient Inventory,16837,30,4140.0,16837,-12697.0,2070.0,-10627.0
18,2024-10-19,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,8663.0,134.0,23-06-2025,03-06-2025,125,Sufficient Inventory,16837,30,4020.0,16837,-12817.0,2010.0,-10807.0
19,2024-10-20,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,8541.0,136.0,21-06-2025,01-06-2025,123,Sufficient Inventory,16837,30,4080.0,16837,-12757.0,2040.0,-10717.0
20,2024-10-21,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,8602.0,135.0,22-06-2025,02-06-2025,124,Sufficient Inventory,16837,30,4050.0,16837,-12787.0,2025.0,-10762.0
21,2024-10-22,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,7626.0,151.0,09-06-2025,20-05-2025,111,Sufficient Inventory,16837,30,4530.0,16837,-12307.0,2265.0,-10042.0
22,2024-10-23,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,8175.0,142.0,16-06-2025,27-05-2025,118,Sufficient Inventory,16837,30,4260.0,16837,-12577.0,2130.0,-10447.0
23,2024-10-24,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,8724.0,133.0,24-06-2025,04-06-2025,126,Sufficient Inventory,16837,30,3990.0,16837,-12847.0,1995.0,-10852.0
24,2024-10-25,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,9151.0,126.0,01-07-2025,11-06-2025,133,Sufficient Inventory,16837,30,3780.0,16837,-13057.0,1890.0,-11167.0
25,2024-10-26,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,9822.0,115.0,14-07-2025,24-06-2025,146,Sufficient Inventory,16837,30,3450.0,16837,-13387.0,1725.0,-11662.0
26,2024-10-27,B07GNLN5K2,SVA Peppermint Arvensis 4 Oz,9087,10920.0,97.0,10-08-2025,21-07-2025,173,Sufficient Inventory,16837,30,2910.0,16837,-13927.0,1455.0,-12472.0
