,Product Name,ASIN,Today's Data,3-Day Average,Percentage Change (3-day avg),5-Day Average,Percentage Change (5-day avg)
0,SVA Peppermint Arvensis 4 Oz,B07GNLN5K2,2323.0,26089.67,-91.09609282141169,15682.8,-85.18759405208255
1,SVA Citronella Oil 4 Oz,B07GCQDX6M,36.0,34.0,5.88235294117647,35.6,1.1235955056179736
2,SVA Rose Water 4 Oz (US),B072M2MTK1,104.0,105.33,-1.2626981866514748,106.2,-2.0715630885122436
3,SIVA Camphor oil 4oz,B09TXNSQDJ,70.0,62.0,12.903225806451612,61.2,14.379084967320255
4,SIVA Lavender 4 oz,B09VPLLPMB,313.0,309.0,1.2944983818770228,327.0,-4.281345565749235
5,SIVA Citronella Oil 4 Oz,B09V7XXJ52,12.0,13.0,-7.6923076923076925,11.4,5.263157894736839
6,SVA Eucalyptus Oil 4 Oz (US),B071LQFHPY,133.0,120.67,10.217949780392805,122.2,8.837970540098198
7,SVA Rosemary Essential Oil – 1 Fl Oz,B07J1JZJY2,151.0,133.67,12.964763970973303,133.8,12.855007473841546
8,SVA Oregano Oil 4 Oz,B072PYW2VM,64.0,58.33,9.72055546031202,59.0,8.47457627118644
9,SVA Carrot Seed Oil 4 Oz,B07YWWXLJS,39.0,35.0,11.428571428571429,40.2,-2.9850746268656785
10,SVA Lavender Oil 4 Oz,B071ZQ5J4X,36.0,38.67,-6.904577191621416,45.6,-21.05263157894737
11,SIVA Tea Tree Oil 4 Oz,B09W9SX1W8,89.0,95.0,-6.315789473684211,91.4,-2.625820568927796
12,SIVA Peppermint Oil 4 Oz,B09W2VSN54,95.0,94.33,0.7102724477896764,84.8,12.028301886792457
13,SIVA Lemongrass Oil 4 Oz,B09W28G7L3,38.0,42.33,-10.22915190172454,40.8,-6.862745098039209
14,SVA Bhringraj Oil 4 Oz,B07Q4TD8RS,35.0,34.67,0.951831554658201,37.4,-6.417112299465237
15,SIVA Clove bud Oil 4 Oz,B09V1FGQ8Z,9.0,9.33,-3.5369774919614154,11.0,-18.181818181818183
16,SVA Clove bud Oil 4 Oz (US),B071W92ZRG,54.0,48.67,10.951304705157177,43.4,24.42396313364056
17,SVA Thyme Oil 4 Oz,B07W8THF1Q,24.0,22.0,9.090909090909092,19.2,25.000000000000007
18,SVA Frankincense Serrata 4Oz,B072Q32KJ2,53.0,47.0,12.76595744680851,48.2,9.958506224066383
19,SIVA Peppermint Oil 1 Oz,B09W2VZDMQ,8.0,6.67,19.9400299850075,7.4,8.108108108108103
20,SVA Fenugreek Oil 1 Oz,B0B8HDYRZQ,33.0,40.67,-18.859109909023854,40.2,-17.910447761194035
21,SVA Castor 4oz,B072M55KZT,32.0,27.33,17.08744968898647,27.8,15.107913669064747
22,SIVA Eucalyptus Essential Oil 4oz,B09WZYCXRQ,95.0,96.33,-1.3806706114398404,95.6,-0.6276150627615004
23,SVA Marula Oil 4oz (US),B078Z2KPT5,17.0,14.0,21.428571428571427,14.0,21.428571428571427
24,SIVA Lemon Oil 4oz,B09VS77ZDT,38.0,46.33,-17.97971077055903,44.8,-15.178571428571422
25,SVA Thuja Oil 1oz,B07MNRLWRN,7.0,7.33,-4.5020463847203285,9.4,-25.531914893617024
26,SVA Pumpkin Seed Oil 4oz (US),B07MCKSNZQ,178.0,161.67,10.100822663450247,142.4,24.999999999999993
27,SVA Rosemary Oil 4oz,B07J14W55P,125.0,121.0,3.3057851239669422,109.8,13.843351548269583
28,SVA Tangerine Oil 4oz (US),B07J1L77D3,17.0,21.67,-21.55053068758653,21.2,-19.81132075471698
29,SVA Fenugreek Oil 4oz,B0BY54K6C3,27.0,22.33,20.913569189431268,20.8,29.807692307692303
30,SVA Hemp Seed Oil 4oz (US),B07FSV4FNK,19.0,14.33,32.588974180041866,14.2,33.802816901408455
31,SVA Evening Primrose Oil 4oz (US),B07FSZ921M,24.0,25.67,-6.505648617062726,25.8,-6.976744186046514
32,SVA Spearmint Oil 4oz,B081RJL36N,9.0,9.0,0.0,8.0,12.5
33,SIVA Turmeric Oil 4oz,B0BB9QN29D,21.0,22.0,-4.545454545454546,21.0,0.0
34,SVA Moringa Oil 4oz,B078Z17WQ9,23.0,19.33,18.98603207449561,23.8,-3.3613445378151288
35,SVA Cinnamon Leaf Oil 4oz,B07Y1LCD7T,8.0,6.0,33.33333333333333,6.4,24.999999999999993
36,SVA Citriodora Oil 4oz,B07XLS76L4,8.0,5.67,41.09347442680777,4.4,81.8181818181818
37,SVA Lemon Oil 4oz,B07895DHYQ,20.0,20.33,-1.6232169208066816,20.8,-3.8461538461538494
38,SVA Peppermint Piperita Oil 4oz,B071J8GQCJ,14.0,11.67,19.965724078834622,13.4,4.477611940298504
39,SVA Geranium Oil 1oz (US),B07J1WMHT2,8.0,7.67,4.302477183833117,10.2,-21.568627450980387
40,SVA Tamanu Oil 4oz,B071FNLVF5,21.0,20.0,5.0,30.6,-31.37254901960785
41,SVA Amla Oil 4oz,B07FSYZM6H,41.0,38.33,6.965823115053488,43.2,-5.092592592592599
