ASIN,Product Name,Current Inventory,Daily_Run_Rate,Expected_Usage,Total Upcoming Shipment,Days_To_Target,AWD,Backstock,Upcoming Orders,Total Available Stocks with BS & AWD,"Total Available Stocks with BS,AWD & Orders",Required Inventory(AWD+BS+ORDERS)
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,95.0,2850.0,4989,30,7000,8200,0,20189,20189,-17339.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,90.0,2700.0,4989,30,7000,8200,0,20189,20189,-17489.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,95.0,2850.0,4989,30,7000,8200,0,20189,20189,-17339.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,94.0,2820.0,4989,30,7000,8200,0,20189,20189,-17369.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,90.0,2700.0,4989,30,7000,8200,0,20189,20189,-17489.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,90.0,2700.0,4989,30,7000,8200,0,20189,20189,-17489.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,92.0,2760.0,4989,30,7000,8200,0,20189,20189,-17429.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,125.0,3750.0,4989,30,7000,8200,0,20189,20189,-16439.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,161.0,4830.0,4989,30,7000,8200,0,20189,20189,-15359.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,163.0,4890.0,4989,30,7000,8200,0,20189,20189,-15299.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,164.0,4920.0,4989,30,7000,8200,0,20189,20189,-15269.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,163.0,4890.0,4989,30,7000,8200,0,20189,20189,-15299.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,129.0,3870.0,4989,30,7000,8200,0,20189,20189,-16319.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,96.0,2880.0,4989,30,7000,8200,0,20189,20189,-17309.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,100.0,3000.0,4989,30,7000,8200,0,20189,20189,-17189.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,102.0,3060.0,4989,30,7000,8200,0,20189,20189,-17129.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,100.0,3000.0,4989,30,7000,8200,0,20189,20189,-17189.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,98.0,2940.0,4989,30,7000,8200,0,20189,20189,-17249.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,95.0,2850.0,4989,30,7000,8200,0,20189,20189,-17339.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,94.0,2820.0,4989,30,7000,8200,0,20189,20189,-17369.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,92.0,2760.0,4989,30,7000,8200,0,20189,20189,-17429.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,92.0,2760.0,4989,30,7000,8200,0,20189,20189,-17429.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,94.0,2820.0,4989,30,7000,8200,0,20189,20189,-17369.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,98.0,2940.0,4989,30,7000,8200,0,20189,20189,-17249.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,98.0,2940.0,4989,30,7000,8200,0,20189,20189,-17249.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,98.0,2940.0,4989,30,7000,8200,0,20189,20189,-17249.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,106.0,3180.0,4989,30,7000,8200,0,20189,20189,-17009.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,102.0,3060.0,4989,30,7000,8200,0,20189,20189,-17129.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,95.0,2850.0,4989,30,7000,8200,0,20189,20189,-17339.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,95.0,2850.0,4989,30,7000,8200,0,20189,20189,-17339.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,94.0,2820.0,4989,30,7000,8200,0,20189,20189,-17369.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,86.0,2580.0,4989,30,7000,8200,0,20189,20189,-17609.0
B072M2MTK1,SVA Rose Water 4 Oz (US),4989,88.0,2640.0,4989,30,7000,8200,0,20189,20189,-17549.0
